Library	SCE_down		SCE_big	SCE_small	SCE_total	SCE_original	ploidy	quality	Reads_aligned_prefiltering	Duplication_rate	Coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_5_percent_coverage	Reads_aligned_postfiltering	SCE_quality
zeid_BLM_UV300s_hoechst3_cluster14_well10_S451_	8		11	4	15	21	2	g	5960781	34.00%	8.50%	5.10%	580	45.80%	41%	152	0.2	5372938	21
zeid_BLM_UV300s_hoechst3_cluster14_well11_S452_	NA	NA	NA	NA	NA	NA	NA	p	9809	28.70%	0.00%	0.00%	1	66.70%	45%	154	NA	8250	poor library
zeid_BLM_UV300s_hoechst3_cluster14_well12_S453_	NA	NA	NA	NA	NA	NA	NA	p	6281724	28.70%	9.80%	0.00%	632	92.90%	40%	152	0.19	5747038	not SS
zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_	11		12	5	17	24	2	g	7186797	32.10%	10.50%	3.50%	738	41.10%	40%	149	0.19	6497736	24
zeid_BLM_UV300s_hoechst3_cluster14_well16_S457_	NA	NA	NA	NA	NA	NA	NA	p	20886	48.60%	0.00%	50.00%	1	45.80%	51%	50	NA	17250	poor library
zeid_BLM_UV300s_hoechst3_cluster14_well17_S458_	9		9	2	11	13	2	p	547049	10.40%	1.10%	6.40%	72	47.80%	41%	151	0.36	493704	13
zeid_BLM_UV300s_hoechst3_cluster14_well18_S459_	7		5	0	5	9	2	g	293374	51.00%	0.30%	8.60%	21	45.50%	42%	152	NA	258028	9
zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_	13		14	6	20	31	2	g	7681025	33.60%	11.10%	2.40%	771	32.30%	39%	152	0.19	6983410	31
zeid_BLM_UV300s_hoechst3_cluster14_well20_S461_	8		14	5	19	26	2	g	6845173	29.60%	10.40%	4.40%	723	44.20%	40%	149	0.19	6165130	26
zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_	13		15	2	17	14	2	g	2357900	36.30%	 	4.40%	223	50.80%	42%	150	0.51	2121416	19
zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_	15		17	2	19	21	2	g	3098463	17.60%	5.60%	2.60%	382	50.70%	39%	153	0.19	2829404	21
zeid_BLM_UV300s_hoechst3_cluster14_well25_S466_	NA	NA	NA	NA	NA	NA	NA	p	7130265	8.40%	2.80%	30.00%	191	96.20%	39%	152	NA	1258506	not SS
zeid_BLM_UV300s_hoechst3_cluster14_well26_S467_	NA	NA	NA	NA	NA	11	2	p	3149865	15.00%	5.80%	12.90%	375	54.10%	40%	150	0.18	2865402	11
zeid_BLM_UV300s_hoechst3_cluster14_well27_S468_	9		11	2	13	15	2	g	2876321	21.50%	5.00%	2.10%	338	46.80%	38%	156	0.2	2632328	15
zeid_BLM_UV300s_hoechst3_cluster14_well30_S471_	9		12	2	14	15	2	p	2384453	18.00%	4.30%	3.30%	295	44.40%	40%	151	0.2	2171632	15
zeid_BLM_UV300s_hoechst3_cluster14_well31_S472_	NA	NA	NA	NA	NA	NA	NA	p	75373	52.30%	0.10%	36.40%	5	57.70%	44%	154	NA	62914	poor library
zeid_BLM_UV300s_hoechst3_cluster14_well32_S473_	7		8	2	10	9	2	p	8908457	41.00%	11.50%	4.70%	798	45.70%	39%	152	0.19	8144792	9
zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_	9		12	4	16	17	2	g	2881948	22.30%	4.90%	1.80%	342	45.30%	39%	154	0.21	2631682	17
zeid_BLM_UV300s_hoechst3_cluster14_well34_S475_	8		8	7	15	15	2	g	1628024	10.60%	3.20%	3.50%	219	38.70%	39%	151	0.19	1479684	15
zeid_BLM_UV300s_hoechst3_cluster14_well37_S478_	NA	NA	NA	NA	NA	NA	NA	p	5639	48.00%	0.00%	0.00%	0	62.50%	50%	159	NA	4738	poor library
zeid_BLM_UV300s_hoechst3_cluster14_well38_S479_	NA	NA	NA	NA	NA	NA	2	p	6052700	29.30%	9.40%	0.00%	637	96.20%	39%	152	0.19	5522120	not SS
zeid_BLM_UV300s_hoechst3_cluster14_well39_S480_	NA	NA	NA	NA	NA	NA	2	p	2241936	11.80%	4.30%	13.40%	283	50.00%	42%	153	0.19	2038408	poor library
zeid_BLM_UV300s_hoechst3_cluster14_well40_S481_	11		11	6	17	13	2	g	4078701	21.00%	7.00%	3.70%	497	44.50%	40%	148	0.19	3706172	13
zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_	6		6	2	8	9	2	g	1349817	9.10%	2.70%	2.50%	186	48.10%	39%	153	0.19	1233530	9
zeid_RECQ5_UV300s_hoechst3_cluster15_well10_S500_	6	NA	NA	NA	NA	10	2	p	1172379	7.40%	2.40%	7.20%	158	36.50%	41%	149	0.19	1064380	10
zeid_RECQ5_UV300s_hoechst3_cluster15_well11_S501_	NA	NA	NA	NA	NA	NA	NA	p	3626	3.80%	0.00%	0.00%	0	65.20%	42%	149	>2	3296	poor library
